Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
quick,6.64,3,4,1,5,2.6746,0.482591876,-0.52417795,2.111218569
woman,6.64,3,4,1,5,5.4378,0.482591876,-0.52417795,2.111218569
alien,5.6,3,4,1,5,7.7218,0.482591876,-0.52417795,2.111218569
clock,5.14,3,3,1,5,3.5736,0.482591876,-1.52417795,2.111218569
rough,4.74,3,4,1,5,4.8722,0.482591876,-0.52417795,2.111218569
slush,4.66,3,4,1,5,5.1062,0.482591876,-0.52417795,2.111218569
alley,4.48,3,3,1,5,6.1786,0.482591876,-1.52417795,2.111218569
thorn,3.64,3,4,1,5,7.0786,0.482591876,-0.52417795,2.111218569
filth,2.47,3,4,1,5,5.6738,0.482591876,-0.52417795,2.111218569
child,7.08,2,4,1,5,4.824,-0.517408124,-0.52417795,2.111218569
color,7.02,2,2,1,5,5.5616,-0.517408124,-2.52417795,2.111218569
blond,6.43,2,3,1,5,4.8052,-0.517408124,-1.52417795,2.111218569
ankle,5.27,2,4,1,5,6.483,-0.517408124,-0.52417795,2.111218569
aloof,4.9,2,2,1,5,5.8868,-0.517408124,-2.52417795,2.111218569
timid,3.86,2,4,1,5,5.9294,-0.517408124,-0.52417795,2.111218569
flood,3.19,2,2,1,5,5.104,-0.517408124,-2.52417795,2.111218569
blind,3.05,2,4,1,5,4.697,-0.517408124,-0.52417795,2.111218569
slime,2.68,2,4,1,5,6.4852,-0.517408124,-0.52417795,2.111218569
alone,2.41,2,3,1,5,7.83,-0.517408124,-1.52417795,2.111218569
tumor,2.36,2,3,1,5,5.5428,-0.517408124,-1.52417795,2.111218569
vomit,2.06,2,4,1,5,5.3826,-0.517408124,-0.52417795,2.111218569
